filename,bt_ir_1,bt_wv_1,bt_ir_2,bt_wv_2,bt_ir_3,bt_wv_3,bt_ir_4,bt_wv_4,bt_ir_5,bt_wv_5,bt_ir_6,bt_wv_6,bt_ir_7,bt_wv_7,bt_ir_8,bt_wv_8
20070531090000,34.0440403339751,34.101414164218056,34.032875563773025,34.13877628612756,34.044678592053224,34.201734148149804,34.10368241893133,34.201899062639214,34.04103110232383,34.19270595556458,33.992483415755565,34.12845476260177,34.01770636842306,34.07955374525445,33.79467448601202,34.00668154051065
20070531120000,33.96294388470538,33.92825461937801,34.01476000360562,33.98843573014669,34.03591895595654,34.07147504556531,34.061371137797984,34.05640727077941,34.039673645603806,34.063149181082515,34.16618134178394,34.10351960879989,34.18368372120963,34.04554181075871,34.16841772772122,33.95667957059456
20070531150000,34.04200869148686,33.80390971610236,34.055138939731386,33.78167376178493,34.039359518603774,33.83264229485372,34.049581329086124,33.89239209417459,34.056023055754565,33.91988994029047,34.149742098030835,33.92395690063749,34.02216934264847,33.91211513420244,33.9486350813858,33.78596522939197
20070531180000,34.001983944419855,33.62101744769896,34.07932718679292,33.604013952709316,34.051216312886545,33.6068016314266,33.947206378454155,33.54165061223631,33.939027973595024,33.572453101909204,33.991306543382976,33.5950083492646,33.91869662541189,33.587346384620034,33.82967291945333,33.58351558369165
20070531210000,34.11880669365642,33.47218924623406,34.104773198476096,33.461105388803134,34.067488313592015,33.414969646064804,34.02683356384405,33.37024852810382,33.999725677048325,33.35138592821095,33.9195635444523,33.31930220611606,33.68671576350593,33.278279534478216,33.450694320738315,33.230209232936026
20070601000000,34.07407179352763,33.17553804694523,34.04476573712783,33.15303891018076,34.01554188355767,33.15827511649015,33.910205282620964,33.11571653091088,33.87068654755434,33.08682847743613,33.724634033421175,33.06456566828171,33.65349907017818,33.064688674102904,33.552092651751764,33.053362739690265
20070601030000,34.04472822814888,32.879848558196706,34.008205192132905,32.8163779648358,33.932334496759815,32.82475866604594,33.80663569858799,32.78964446428452,33.74992416918064,32.80549427544318,33.55033512334707,32.800244954950465,33.550959226091,32.823991559676884,33.59260563651827,32.8502736849932
20070601060000,33.857747854452484,32.50549973241023,33.80153526490968,32.500979607901904,33.73945812222365,32.50165498578516,33.60151641698956,32.46314707761387,33.35799021362429,32.46739292090437,33.5694376237857,32.54657276289688,33.29057178555949,32.53922520249143,33.447091688540816,32.664266918294814
20070601090000,33.81207557561613,32.29531963316817,33.74899301353398,32.35775775266551,33.699972383672744,32.3597269675031,33.62593879304406,32.36484638667538,33.35853752183013,32.34858549675694,33.52522390257499,32.425448742568975,33.5791715908682,32.43946013073567,33.436397443416034,32.49826401502591
20070601120000,33.47276960387215,32.0350881028544,33.60428905528184,32.113885844441604,33.31302870913657,32.123888339224905,33.232939064884896,32.132629110238796,33.18171538684219,32.13629243634474,33.05891879419122,32.097064659374105,32.50162544668101,31.983034906193037,31.874516040330807,31.783209250631995
20070601150000,33.369694439133276,32.13089385214608,33.02670549743304,31.936921226579024,33.29722098854679,32.18178665768422,32.977828099053575,32.072773576737305,33.10840512006097,32.09244137798502,32.70935512964108,31.91247270680733,32.618917392453874,31.864615115365815,32.506239449185955,31.836833314085858
20070601180000,33.16475442459149,32.18231241303316,32.80787602969622,32.18177291395936,32.92694151772482,32.15763692665516,33.11061477304945,32.081315603553925,32.723234414651614,31.96208098952209,33.37532849708212,32.07924424347432,32.50726488533243,31.994091835466772,33.252677186596046,32.2443122841119
