NAME,ISO_TIME,LAT,LON,filename,year_sine,day_sine,moon_phase,vel_ir_x_1,vel_ir_y_1,vel_ir_x_2,vel_ir_y_2,vel_ir_x_3,vel_ir_y_3,vel_ir_x_4,vel_ir_y_4,vel_ir_x_5,vel_ir_y_5,vel_ir_x_6,vel_ir_y_6,vel_ir_x_7,vel_ir_y_7,vel_ir_x_8,vel_ir_y_8,vel_wv_x_1,vel_wv_y_1,vel_wv_x_2,vel_wv_y_2,vel_wv_x_3,vel_wv_y_3,vel_wv_x_4,vel_wv_y_4,vel_wv_x_5,vel_wv_y_5,vel_wv_x_6,vel_wv_y_6,vel_wv_x_7,vel_wv_y_7,vel_wv_x_8,vel_wv_y_8,bt_ir_1,bt_wv_1,bt_ir_2,bt_wv_2,bt_ir_3,bt_wv_3,bt_ir_4,bt_wv_4,bt_ir_5,bt_wv_5,bt_ir_6,bt_wv_6,bt_ir_7,bt_wv_7,bt_ir_8,bt_wv_8
GONU,31-05-2007 12:00,14.0,71.7,20070531120000,0.5307300481619334,-3.216245299353273e-16,0.1074252605356048,3.890548457470105,2.6674694034147515,1.375604997396889,2.7261597691341977,0.1145757746443119,3.5081973340182544,-0.7146571436409085,4.288678851209226,1.2524918235260003,4.087541375415658,2.557906520706706,5.060895359921415,3.848492633702405,5.113036745897712,2.4293058486054524,2.3003922045876632,6.4216698910816605,7.365423933569207,6.184624001677607,6.660061007861415,6.225841903579848,4.94774175124395,5.957489818618411,5.291450666282825,5.457226729095305,5.365697148747956,5.54720412649317,5.809615409683465,6.1597016780915474,5.444077685355005,7.202735576786785,5.745111656547328,33.96294388470538,33.92825461937801,34.01476000360562,33.98843573014669,34.03591895595654,34.07147504556531,34.061371137797984,34.05640727077941,34.039673645603806,34.063149181082515,34.16618134178394,34.10351960879989,34.18368372120963,34.04554181075871,34.16841772772122,33.95667957059456
GONU,31-05-2007 15:00,14.1,71.7,20070531150000,0.5307300481619334,-0.7071067811865475,0.0828934338022705,-0.8318209900757885,-3.809046370453305,1.022471597481427,-3.501872876923485,3.0282785114996704,-2.987043408026372,3.1600487043280125,-2.455386390845317,2.9294572560574816,-0.9054387963781224,2.6929774693249677,1.4197050681250627,3.38100959953577,1.7096072674389686,3.442638171344258,1.6040317278797087,9.270359194720234,8.28276806584111,10.143446233537462,8.410476895762079,10.220335404202928,8.752942982645855,9.302426831236165,9.729035961215647,9.113890468484104,9.417100878156685,8.431835030225606,9.14774351350614,8.234493854661197,8.659186189361463,9.147122988967986,9.13055055542296,34.04200869148686,33.80390971610236,34.055138939731386,33.78167376178493,34.039359518603774,33.83264229485372,34.049581329086124,33.89239209417459,34.056023055754565,33.91988994029047,34.149742098030835,33.92395690063749,34.02216934264847,33.91211513420244,33.9486350813858,33.78596522939197
GONU,31-05-2007 18:00,14.2,71.5,20070531180000,0.5307300481619334,-1.0,0.0582650619778085,2.851204464665136,-8.899986695598912,2.350226060698145,-8.965180438022559,3.3850781188652754,-8.493333749909155,4.968107040447237,-8.534008337782836,4.965323798672959,-10.89355210874268,4.721117814625554,-10.870544172491767,3.957519616466183,-9.129030955086153,2.478339938263086,-8.864456506625125,11.213718549625291,12.933830827474594,10.319698147924036,13.031363953502694,10.763898155535127,12.950885878121587,11.849704067305764,12.429929502413753,12.693386292759518,11.684915036564137,12.38811537613267,11.621226481002076,11.054452371446242,10.128807216861675,9.338158981190324,9.094220199939636,34.001983944419855,33.62101744769896,34.07932718679292,33.60401395270932,34.051216312886545,33.6068016314266,33.947206378454155,33.54165061223631,33.939027973595024,33.572453101909204,33.991306543382976,33.5950083492646,33.91869662541189,33.587346384620034,33.82967291945333,33.58351558369165
GONU,31-05-2007 21:00,14.3,71.3,20070531210000,0.5307300481619334,-0.7071067811865477,0.0335545503322971,-7.948708022850147,-10.741302265637165,-5.482546853347898,-8.791680771393327,-3.099443495168216,-8.3627880610132,-2.276884457907655,-7.090788711075532,-0.5607979544294498,-6.176478672867531,0.926691651479908,-5.130815963900845,2.001810202404098,-5.461071044619034,1.5034566808881695,-6.223394284496161,4.510760765144791,1.696253190761891,5.597131611820989,2.567033069107098,6.900879456824351,2.827400096659603,7.270977298277593,2.702084305130895,8.398980440315627,3.7304301880121766,9.79139261651721,5.755047735954005,10.093801515898456,6.691558678547315,9.771145610662218,7.207146873945764,34.11880669365642,33.47218924623406,34.104773198476096,33.461105388803134,34.067488313592015,33.414969646064804,34.02683356384405,33.37024852810382,33.999725677048325,33.35138592821095,33.9195635444523,33.31930220611606,33.68671576350593,33.278279534478216,33.450694320738315,33.230209232936026
GONU,01-06-2007 00:00,14.4,70.9,20070601000000,0.5160623910158528,0.0,0.0087765294508965,-4.840155615902587,-6.098961368503186,-6.545628798930026,-4.830265531038546,-6.423887842151535,-5.1177557788641534,-4.778643213346285,-4.305073004137908,-3.231137688701509,-4.410740335590858,-2.7885025829096417,-3.346408278173728,-1.946056271233688,-4.302900058906023,-1.2079980493205036,-4.236721517207409,4.614237303801831,-2.583188321528919,3.4104019258742464,-2.2011036742440018,2.5529962695544084,-2.187797616141978,4.894825525472964,-0.3140875096973668,5.635604427776741,1.400922128296689,6.146682550002455,4.375620394591167,5.961822929828471,5.452707197468,6.000486914179435,5.376845082232113,34.07407179352763,33.17553804694523,34.04476573712783,33.15303891018076,34.01554188355767,33.15827511649015,33.910205282620964,33.11571653091088,33.87068654755434,33.08682847743613,33.724634033421175,33.06456566828171,33.65349907017818,33.064688674102904,33.552092651751764,33.053362739690265
GONU,01-06-2007 03:00,14.5,70.5,20070601030000,0.5160623910158528,0.7071067811865476,-0.0160541530335859,0.703741512922705,-3.247343550665655,0.7829937725521314,-2.789724805059444,1.55940205490314,-2.951125006990171,2.3648871165188448,-2.0623283012638667,3.782991143190587,-1.7101933380845478,4.806073840887619,-1.826350900170694,5.213733587092513,-1.7431542701620613,4.9216891455994025,-0.4251184652287115,7.990944143654644,10.013192156086795,8.189833129937657,10.190999412688964,8.552910899414735,10.227009109212268,8.174996606015542,10.249081063163311,7.311079289009604,9.089213880501706,7.556152245627033,8.17380523875552,7.687633323029102,8.36764601085565,8.326502652810785,8.932116659451616,34.04472822814888,32.879848558196706,34.008205192132905,32.8163779648358,33.932334496759815,32.82475866604594,33.80663569858799,32.78964446428452,33.74992416918064,32.80549427544318,33.55033512334707,32.800244954950465,33.550959226091,32.823991559676884,33.59260563651827,32.8502736849932
GONU,01-06-2007 06:00,14.7,70.0,20070601060000,0.5160623910158528,1.0,-0.0409224413370541,7.817842847261673,-6.330883650156932,7.889023677918686,-4.509223655749418,8.127911890146834,-3.940155074603399,8.73449680046119,-2.8022495967310226,8.618064703773065,-1.840680053920143,8.796899172137206,-1.4989057713466287,7.784240485999059,-0.9409827562409796,7.253957303592753,-1.4255938457233042,10.030112920663296,6.974282999833425,10.432239684652776,6.688563135562968,10.511349371794996,6.221538819297329,10.547519605426691,5.9650381360260125,9.895954662998175,5.148773898173863,9.610207377911376,5.68589771059539,9.338786337706551,5.461937528591553,9.77117020402526,5.608072258032217,33.857747854452484,32.50549973241023,33.80153526490968,32.500979607901904,33.73945812222365,32.50165498578516,33.60151641698956,32.46314707761387,33.35799021362429,32.46739292090437,33.5694376237857,32.54657276289688,33.29057178555949,32.53922520249143,33.447091688540816,32.664266918294814
GONU,01-06-2007 09:00,14.9,69.4,20070601090000,0.5160623910158528,0.7071067811865476,-0.0658130810181732,-6.495736178229837,-11.424236611758962,-5.403919162102116,-11.163847085341668,-4.797864437525517,-10.986903971684262,-3.4085054923936684,-9.278354588097072,-2.7474962407353165,-9.65008158672712,-1.932278659415708,-10.033011541852249,-2.2106119491587592,-10.998049600356424,0.1372014356292078,-10.680318423609066,1.632501830653671,-3.594176298585337,0.7635605352324912,-3.330222849666313,0.4107031222520429,-2.5708613632829143,0.1369510648604942,-1.9310995297415003,0.4778222331159447,-2.2949815801860454,2.499485431298708,-1.2953490047477094,4.151878674124054,-0.065789110381882,5.688349032792687,2.811499888322195,33.81207557561613,32.29531963316817,33.74899301353398,32.35775775266551,33.699972383672744,32.3597269675031,33.62593879304406,32.36484638667538,33.35853752183013,32.34858549675694,33.52522390257499,32.425448742568975,33.5791715908682,32.43946013073567,33.436397443416034,32.49826401502591
GONU,01-06-2007 12:00,15.0,68.8,20070601120000,0.5160623910158528,-3.216245299353273e-16,-0.0907106290350836,7.233449053764343,-6.819146847724914,5.679830561665928,-5.8219587403185225,5.195030221214718,-5.866463410204869,5.133938428053908,-6.456205889897764,6.342488437380307,-6.962310592589118,6.560637525915097,-8.428662826702043,7.768155757927088,-8.884064784376365,7.859517660698674,-8.977288164708957,7.974691531237434,-4.860593612053815,8.65331711137996,-5.4620906836408025,9.003448889418939,-5.050967287252574,10.106658704841951,-3.795936453986204,10.482512642041067,-3.936728916225993,10.078573044146424,-3.918060919744351,11.265046056796857,-2.735537862426675,11.962873182006236,-2.272627092745969,33.47276960387215,32.0350881028544,33.60428905528184,32.113885844441604,33.31302870913657,32.123888339224905,33.232939064884896,32.1326291102388,33.18171538684219,32.13629243634474,33.05891879419122,32.097064659374105,32.50162544668101,31.98303490619304,31.874516040330807,31.783209250631995
GONU,01-06-2007 15:00,15.1,68.5,20070601150000,0.5160623910158528,-0.7071067811865475,-0.1155994643271332,2.9272606278685007,-3.621766885121664,1.7737803918462098,-3.0352956918135647,2.763606428485364,-2.9606912627777784,5.101759297249883,-4.046190610268018,5.597841675901679,-4.59314325005936,5.291226850333453,-4.997910974483409,3.893564352161608,-5.653169221069324,2.466358779781362,-5.781971858185632,10.143598175048828,-2.844666666131128,8.435834670470932,-2.130324590288229,7.832089912891388,-2.133284377895296,8.814028873909102,-1.8877458568940404,9.928941846899846,-1.5395508142001335,9.896207456759182,-1.707876003470532,9.658837531903172,-1.2116648586346948,10.17956115891787,-0.4014573491376778,33.36969443913328,32.13089385214608,33.02670549743304,31.936921226579024,33.29722098854679,32.18178665768422,32.977828099053575,32.072773576737305,33.10840512006097,32.09244137798502,32.70935512964108,31.91247270680733,32.618917392453874,31.86461511536581,32.506239449185955,31.836833314085855
