filename,timestamp,year_sine,day_sine,moon_phase
20070529233000,2007-05-29 23:30:00,0.5595892624101765,-0.13052619222005168,0.3930665229667225
20070530000000,2007-05-30 00:00:00,0.545240438540651,0.0,0.3893682637110894
20070530003000,2007-05-30 00:30:00,0.545240438540651,0.13052619222005157,0.385662758647244
20070530010000,2007-05-30 01:00:00,0.545240438540651,0.25881904510252074,0.3819500584041314
20070530013000,2007-05-30 01:30:00,0.545240438540651,0.38268343236508984,0.3782302138156496
20070530020000,2007-05-30 02:00:00,0.545240438540651,0.49999999999999994,0.37450327592121335
20070530023000,2007-05-30 02:30:00,0.545240438540651,0.6087614290087207,0.3707692959658622
20070530030000,2007-05-30 03:00:00,0.545240438540651,0.7071067811865476,0.367028325400698
20070530033000,2007-05-30 03:30:00,0.545240438540651,0.7933533402912352,0.36328041588281057
20070530040000,2007-05-30 04:00:00,0.545240438540651,0.8660254037844386,0.35952561927563564
20070530043000,2007-05-30 04:30:00,0.545240438540651,0.9238795325112867,0.35576398764922146
20070530050000,2007-05-30 05:00:00,0.545240438540651,0.9659258262890683,0.351995573280333
20070530053000,2007-05-30 05:30:00,0.545240438540651,0.9914448613738104,0.34822042865249936
20070530060000,2007-05-30 06:00:00,0.545240438540651,1.0,0.34443860645664
20070530063000,2007-05-30 06:30:00,0.545240438540651,0.9914448613738104,0.34065015959044403
20070530070000,2007-05-30 07:00:00,0.545240438540651,0.9659258262890683,0.33685514115916676
20070530073000,2007-05-30 07:30:00,0.545240438540651,0.9238795325112867,0.333053604475307
20070530080000,2007-05-30 08:00:00,0.545240438540651,0.8660254037844387,0.32924560305897194
20070530083000,2007-05-30 08:30:00,0.545240438540651,0.7933533402912354,0.3254311906378447
20070530090000,2007-05-30 09:00:00,0.545240438540651,0.7071067811865476,0.3216104211471542
20070530093000,2007-05-30 09:30:00,0.545240438540651,0.6087614290087209,0.3177833487297796
20070530100000,2007-05-30 10:00:00,0.545240438540651,0.49999999999999994,0.31395002773638475
20070530103000,2007-05-30 10:30:00,0.545240438540651,0.3826834323650899,0.3101105127251872
20070530110000,2007-05-30 11:00:00,0.545240438540651,0.258819045102521,0.3062648584623052
20070530113000,2007-05-30 11:30:00,0.545240438540651,0.13052619222005157,0.3024131199213674
20070530120000,2007-05-30 12:00:00,0.545240438540651,-3.216245299353273e-16,0.2985553522836906
20070530123000,2007-05-30 12:30:00,0.545240438540651,-0.13052619222005177,0.29469161093814383
20070530130000,2007-05-30 13:00:00,0.545240438540651,-0.2588190451025208,0.2908219514811648
20070530133000,2007-05-30 13:30:00,0.545240438540651,-0.38268343236508967,0.2869464297164997
20070530140000,2007-05-30 14:00:00,0.545240438540651,-0.5000000000000001,0.2830651016553516
20070530143000,2007-05-30 14:30:00,0.545240438540651,-0.6087614290087207,0.27917802351610305
20070530150000,2007-05-30 15:00:00,0.545240438540651,-0.7071067811865475,0.2752852517241559
20070530153000,2007-05-30 15:30:00,0.545240438540651,-0.7933533402912349,0.2713868429118242
20070530160000,2007-05-30 16:00:00,0.545240438540651,-0.8660254037844385,0.2674828539182463
20070530163000,2007-05-30 16:30:00,0.545240438540651,-0.9238795325112865,0.2635733417890917
20070530170000,2007-05-30 17:00:00,0.545240438540651,-0.9659258262890681,0.2596583637762792
20070530173000,2007-05-30 17:30:00,0.545240438540651,-0.9914448613738104,0.2557379773381972
20070530180000,2007-05-30 18:00:00,0.545240438540651,-1.0,0.25181224013886533
20070530183000,2007-05-30 18:30:00,0.545240438540651,-0.9914448613738105,0.24788121004808863
20070530190000,2007-05-30 19:00:00,0.545240438540651,-0.9659258262890684,0.24394494514108545
20070530193000,2007-05-30 19:30:00,0.545240438540651,-0.9238795325112866,0.24000350369813422
20070530200000,2007-05-30 20:00:00,0.545240438540651,-0.8660254037844386,0.23605694420453546
20070530203000,2007-05-30 20:30:00,0.545240438540651,-0.7933533402912352,0.23210532534992256
20070530210000,2007-05-30 21:00:00,0.545240438540651,-0.7071067811865477,0.22814870602818066
20070530213000,2007-05-30 21:30:00,0.545240438540651,-0.608761429008721,0.2241871453370853
20070530220000,2007-05-30 22:00:00,0.545240438540651,-0.5000000000000004,0.22022070257791157
20070530223000,2007-05-30 22:30:00,0.545240438540651,-0.38268343236508956,0.2162494372549172
20070530230000,2007-05-30 23:00:00,0.545240438540651,-0.2588190451025207,0.21227340907518344
20070530233000,2007-05-30 23:30:00,0.545240438540651,-0.13052619222005168,0.2082926779480844
20070531000000,2007-05-31 00:00:00,0.5307300481619334,0.0,0.204307303984857
20070531003000,2007-05-31 00:30:00,0.5307300481619334,0.13052619222005157,0.2003173474982051
20070531010000,2007-05-31 01:00:00,0.5307300481619334,0.25881904510252074,0.19632286900164475
20070531013000,2007-05-31 01:30:00,0.5307300481619334,0.38268343236508984,0.19232392920949054
20070531020000,2007-05-31 02:00:00,0.5307300481619334,0.49999999999999994,0.18832058903575488
20070531023000,2007-05-31 02:30:00,0.5307300481619334,0.6087614290087207,0.18431290959418678
20070531033000,2007-05-31 03:30:00,0.5307300481619334,0.7933533402912352,0.1762847783562658
20070531040000,2007-05-31 04:00:00,0.5307300481619334,0.8660254037844386,0.17226444977991398
20070531043000,2007-05-31 04:30:00,0.5307300481619334,0.9238795325112867,0.16824002837459187
20070531050000,2007-05-31 05:00:00,0.5307300481619334,0.9659258262890683,0.1642115762431785
20070531053000,2007-05-31 05:30:00,0.5307300481619334,0.9914448613738104,0.16017915568475674
20070531060000,2007-05-31 06:00:00,0.5307300481619334,1.0,0.15614282919389938
