filename,vel_ir_x_1,vel_ir_y_1,vel_ir_x_2,vel_ir_y_2,vel_ir_x_3,vel_ir_y_3,vel_ir_x_4,vel_ir_y_4,vel_ir_x_5,vel_ir_y_5,vel_ir_x_6,vel_ir_y_6,vel_ir_x_7,vel_ir_y_7,vel_ir_x_8,vel_ir_y_8,vel_wv_x_1,vel_wv_y_1,vel_wv_x_2,vel_wv_y_2,vel_wv_x_3,vel_wv_y_3,vel_wv_x_4,vel_wv_y_4,vel_wv_x_5,vel_wv_y_5,vel_wv_x_6,vel_wv_y_6,vel_wv_x_7,vel_wv_y_7,vel_wv_x_8,vel_wv_y_8
20091212150000,-0.9434445145610107,11.389404858628364,-1.2895496864183313,10.773284964187154,-0.48097120434925716,11.421184278481844,1.179089104232844,11.747027473206467,1.575872377805027,12.562549320045783,1.4107944638231147,13.412758461398292,0.8025248550852409,14.40125876113586,0.4564876271711407,15.520977639195863,-0.9715845694841996,14.829315309655177,1.5094838372301373,17.652669499758566,3.484415717774778,19.787940242169444,5.6381570193423505,21.18670352487003,7.311040665824988,22.85720443774243,7.809056454296617,25.30936967888299,7.442187353035242,27.631852488205485,6.368695328110644,29.236148429323787
20091212180000,1.731125775042554,20.52753175816066,2.79238023071108,18.26690736972431,4.4837018310306425,17.29818111917247,6.908283913893478,20.527371354022268,8.782689552533103,20.312582049527013,10.86947006307664,20.499669658327566,11.012027552479278,20.184866319853683,12.211992325240367,20.0619278639854,12.50425526793574,30.425469237314143,13.746295779231465,29.767020801635326,15.748345832153383,30.159111492875695,15.952882295274465,30.188838980292196,14.433247707374804,29.84484827230265,14.383928285103245,30.12643277403115,13.309287375118583,30.695365703334296,12.113189554861732,29.706507756159855
20091212210000,5.647078173424023,28.221894430077594,8.277503186763239,28.808618957148497,8.844018276090976,28.96751087800956,10.605034751691935,28.5745358764281,10.243908577949465,27.046908342575602,8.587985229383609,25.072241327366644,8.852818646884527,24.505410010547315,8.602045686269086,23.91661280854403,8.58757746046868,30.32092123446257,10.600124328694445,30.29327608241861,12.808327125031271,30.449256218804255,13.552860289389958,30.12243837945522,12.581946802582564,30.43441409003947,11.141946727424253,31.029221268508966,10.502370029202952,30.057137133339033,8.849114840561098,28.216497958343332
20091213000000,3.240001622639911,26.87935293224496,3.545211417716565,23.299936749110714,3.397318144996675,22.457406860461337,3.7079467430696114,21.759655434627586,2.178633481666824,20.70683866757958,-0.032707550783170274,20.994943302968878,0.5994478865690249,20.94811912340625,-0.22542741178702067,19.71325713414757,-0.6065035550789514,23.67495352785352,1.1241697006484614,22.690731001048817,1.456729525581842,22.848745151675292,2.1203913163823374,21.947799080080834,2.075673313153559,21.56512160585218,0.8950403936297738,21.55534336886068,1.5843032595050965,22.625668672229676,1.8767583535213408,23.570962872101596
20091213030000,-9.390995108489449,25.00711083919444,-8.16901841899928,22.814411337235395,-8.325459596191545,21.977095863618047,-8.624824251161318,20.577158287770487,-9.57580215176094,17.790619789543797,-8.973775880346535,16.167703991281687,-8.401502843944435,10.853396998872352,-8.028642381452268,11.035492246367575,-13.11504420828312,24.86710050596413,-13.881747472987456,22.36762029423433,-15.047824602241976,20.22654217984303,-14.253314253911807,19.759034376957512,-14.037352910486318,18.145196271144737,-13.487813097305862,18.089719916422805,-12.821080033806549,15.50331066743296,-10.851893638859476,16.0017714250629
20091213060000,7.2011919692710595,32.55953523141366,6.273491182812938,30.69523460953324,4.389794783425599,29.087804275426812,3.671803900770797,27.277535682843055,2.6324402210950395,25.451668492818282,2.2215016342417795,23.208215472737297,1.828625429642044,22.558036338398196,1.3515011634500467,21.98098287466911,-4.927110061822114,32.14253982261375,-2.8152531127410905,34.2885924021403,-0.9463737220110242,35.517692186595355,-1.02479325276857,35.348350569053935,-1.5127878531190109,33.19296609345129,-1.0553383236257627,31.406008009050712,-1.069211093680071,29.369576132973002,-0.13151166072650114,28.52818042689482
20091213090000,5.634965247296273,28.719333459299506,6.35075680176417,28.85633186340332,6.417407713501329,28.82720016954414,7.527800669754249,30.485269634540263,8.45073713685938,30.829072382570097,8.463766595586288,30.85602445472959,8.58139630070548,31.448203298934672,8.787100665890947,31.076598427628102,0.8219658239985691,36.732401448784145,-0.8122194551676511,38.99783983866374,-3.8775452964515593,36.546721887397,-3.7383100588239366,33.95647592878008,-2.7427060801050698,32.977224247721665,-1.5645561513634256,31.679916932464184,0.09470327629950652,30.010836854923603,1.6515499929068989,25.87891110616815
20091213120000,3.2008042419460456,14.234227415541527,2.667146401818771,13.348572353773479,1.9950850089550998,12.84325727790293,2.247322962870836,12.326155627353973,2.4258218460045002,12.109686759879887,2.4791579707818796,12.016882093385334,2.671797283047405,12.114613426354037,2.9553200916235394,12.515135420625583,3.6952111460268497,20.883133693480154,4.597766933632614,25.76162188264388,4.448916399847678,27.370732875785443,3.097792007102159,24.805616808461618,2.4132863092750325,22.55720771902939,2.0784385736658106,21.22265248806909,1.5447650893105112,21.821433554116982,2.820758525536845,22.362568887430257
20091213150000,2.017483503563599,9.199850193359566,1.074112080450737,8.853216910720768,0.614349689987093,8.736541009452658,0.3522315976633899,9.886331639749224,0.12807749645886807,9.291378832079412,-0.6267609750773692,8.258625748621679,-0.7750125483448188,8.706042224562227,-1.6069157924461015,8.647391338799094,3.2388310739829107,19.29105217651751,4.07777866743561,19.18788748934753,4.82976457883645,19.413398596238267,4.426769479432521,19.902338212995385,3.7562386989249403,19.329979091916456,2.639645644019572,18.841393258930307,1.8450253597175554,19.809228704977727,1.9435524801397572,20.618952670843594
20091213180000,-7.580011147220119,12.36578585035136,-5.885132843765889,11.178779968469895,-5.993972827100869,9.717275180477316,-7.132513813024256,10.112890969405536,-8.403231902533479,10.656881663047983,-7.707490973396163,10.878046892851929,-7.166138157376353,13.800914879926024,-5.93349150136917,15.898194511943272,-2.1988081152037697,26.708547125057297,-1.2947410729708244,25.67049805182623,-1.706236738462416,24.401998780830144,-1.24924972639599,24.12781713073687,-0.6284199867572593,24.940111407857323,-1.090462524833254,24.79001107626948,-1.2472358773142747,25.39003915493415,-1.4431998548930498,25.85674303634257
